No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
492,WU,The Western Union Company,Financial,Credit Services,USA,10.06B,14.03,25.15,1.99%,"4,215,129"
493,WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,USA,27.04B,34.59,36.84,3.48%,"3,787,731"
494,WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,USA,14.89B,-,128.10,2.18%,"2,210,340"
495,XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,USA,35.74B,23.95,66.79,0.42%,"2,651,648"
496,XLNX,"Xilinx, Inc.",Technology,Semiconductors,USA,31.11B,51.96,129.85,4.80%,"2,681,279"
497,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,USA,236.52B,-,57.39,2.79%,"22,804,116"
498,XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,USA,13.73B,-,63.44,-0.58%,"1,179,335"
499,XRX,Xerox Holdings Corporation,Technology,Information Technology Services,USA,4.78B,28.76,24.59,1.32%,"1,783,429"
500,XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,USA,18.36B,74.64,104.64,-0.51%,"754,025"
501,YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,USA,32.74B,37.28,109.80,1.50%,"924,761"
502,ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,USA,32.55B,-,160.00,-0.05%,"786,168"
503,ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,USA,25.43B,52.55,491.78,1.36%,"267,321"
504,ZION,"Zions Bancorporation, National Association",Financial,Banks - Regional,USA,8.89B,18.20,55.41,0.82%,"1,124,110"
505,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,73.45B,46.13,157.89,0.26%,"1,371,764"
